Year_record,Interaction,Date,Troop,Observer,Time,GIVER,RECIPIENT,DOB_Recipient,DOB_Giver,Age_Giver,Age_Recipient,Month_record
2015,Grooming,02/07/2015,J,Ineke,1899-12-31 16:00:50,Sheyhe,Addede,23/10/2005,03/07/2010,59,116,7
2015,Grooming,16/09/2015,J,Carolyn,1899-12-31 14:50:10,Yadeao,Addede,23/10/2005,NA,NA,118,9
2015,Grooming,06/07/2015,J,Claudia,1899-12-31 14:47:02,Sheyhe,Addede,23/10/2005,03/07/2010,60,116,7
2015,Grooming,26/06/2015,J,Ian,1899-12-31 14:19:28,Fildit,Addede,23/10/2005,18/10/2010,56,116,6
2015,Grooming,15/07/2015,J,Thibault,1899-12-31 11:51:15,Yadeao,Addede,23/10/2005,NA,NA,116,7
2015,Grooming,23/08/2015,J,Charmaine,1899-12-31 06:20:16,Yadeao,Addede,23/10/2005,NA,NA,117,8
2015,Grooming,26/04/2015,J,Claudia,1899-12-31 06:25:28,Brlera,Addede,23/10/2005,NA,NA,114,4
2014,Grooming,08/06/2014,J,AJ,1899-12-31 10:18:10,Lomeom,Addede,23/10/2005,NA,NA,103,6
2014,Grooming,05/07/2014,J,Miquel,1899-12-31 12:44:23,Sheyhe,Addede,23/10/2005,03/07/2010,48,104,7
2014,Grooming,06/07/2014,J,Alice,1899-12-31 14:57:11,ShRahe,Addede,23/10/2005,18/10/2010,44,104,7
2015,Grooming,14/07/2015,J,Thibault,1899-12-31 14:01:33,Brtero,Addede,23/10/2005,28/04/2009,74,116,7
2014,Grooming,29/05/2014,J,Andy,1899-12-31 09:58:10,Harear,Addede,23/10/2005,NA,NA,103,5
2014,Grooming,16/06/2014,J,Miquel,1899-12-31 08:59:31,Nieyia,Addede,23/10/2005,NA,NA,103,6
2015,Grooming,30/06/2015,J,Claudia,1899-12-31 15:02:21,Yadeao,Addede,23/10/2005,NA,NA,116,6
2014,Grooming,08/06/2014,J,AJ,1899-12-31 08:39:13,Nieyia,Addede,23/10/2005,NA,NA,103,6
2014,Grooming,22/06/2014,J,AJ,1899-12-31 10:04:01,Fildit,Addede,23/10/2005,18/10/2010,44,103,6
2015,Grooming,22/05/2015,J,JoshF,1899-12-31 14:19:10,Yadeao,Addede,23/10/2005,NA,NA,114,5
2015,Grooming,23/08/2015,J,Charmaine,1899-12-31 07:24:37,Sheyhe,Addede,23/10/2005,03/07/2010,61,117,8
2015,Grooming,03/08/2015,J,Carolyn,1899-12-31 07:01:06,Yadeao,Addede,23/10/2005,NA,NA,117,8
2014,Grooming,11/05/2014,J,Andy,1899-12-31 12:06:05,Frwnre,Addede,23/10/2005,23/06/2006,94,102,5
2015,Grooming,27/06/2015,J,AJ,1899-12-31 11:47:08,Brtero,Addede,23/10/2005,28/04/2009,73,116,6
2015,Grooming,22/07/2015,J,Charmaine,1899-12-31 10:35:44,Lomeom,Addede,23/10/2005,NA,NA,116,7
2014,Grooming,09/05/2014,J,Nacho,1899-12-31 13:48:11,Kisain,Addede,23/10/2005,NA,NA,102,5
2015,Grooming,21/06/2015,J,Claudia,1899-12-31 11:24:00,Sheyhe,Addede,23/10/2005,03/07/2010,59,115,6
2014,Grooming,27/06/2014,J,Einat,1899-12-31 13:25:49,Nieyia,Addede,23/10/2005,NA,NA,104,6
2015,Grooming,28/05/2015,J,JoshF,1899-12-31 16:46:56,Sheyhe,Addede,23/10/2005,03/07/2010,58,115,5
2014,Grooming,01/06/2014,J,Miquel,1899-12-31 13:19:21,Waceal,Addede,23/10/2005,NA,NA,103,6
2014,Grooming,27/05/2014,J,Einat,1899-12-31 13:07:59,Brlera,Addede,23/10/2005,NA,NA,103,5
2015,Grooming,18/07/2015,J,George,1899-12-31 17:12:16,Sheyhe,Addede,23/10/2005,03/07/2010,60,116,7
2015,Grooming,30/06/2015,J,Carolyn,1899-12-31 12:56:19,Kalaam,Addede,23/10/2005,NA,NA,116,6
2015,Grooming,28/04/2015,J,JoshF,1899-12-31 15:43:04,Nieyia,Addede,23/10/2005,NA,NA,114,4
2015,Grooming,24/06/2015,J,AJ,1899-12-31 11:53:40,Hoerom,Addede,23/10/2005,18/10/2010,56,116,6
2014,Grooming,06/06/2014,J,Nacho,1899-12-31 14:15:01,Nieyia,Addede,23/10/2005,NA,NA,103,6
2015,Grooming,02/07/2015,J,Ineke,1899-12-31 16:10:14,Yadeao,Addede,23/10/2005,NA,NA,116,7
2014,Grooming,22/05/2014,J,Nacho,1899-12-31 11:18:16,Joceoy,Addede,23/10/2005,25/01/2011,39,102,5
2014,Grooming,15/06/2014,J,Alice,1899-12-31 07:44:40,Thiahe,Addede,23/10/2005,26/10/2012,19,103,6
2015,Grooming,27/06/2015,J,AJ,1899-12-31 14:13:57,Brtero,Addede,23/10/2005,28/04/2009,73,116,6
2014,Grooming,13/06/2014,J,Miquel,1899-12-31 13:06:31,Nieyia,Addede,23/10/2005,NA,NA,103,6
2015,Grooming,23/08/2015,J,Charmaine,1899-12-31 16:14:16,Sheyhe,Addede,23/10/2005,03/07/2010,61,117,8
2014,Grooming,25/06/2014,J,Alice,1899-12-31 14:55:32,Waceal,Addede,23/10/2005,NA,NA,104,6
2015,Grooming,21/08/2015,J,Thibault,1899-12-31 07:02:38,Sheyhe,Addede,23/10/2005,03/07/2010,61,117,8
2015,Grooming,04/07/2015,J,AJ,1899-12-31 13:32:33,Sheyhe,Addede,23/10/2005,03/07/2010,60,116,7
2015,Grooming,23/08/2015,J,Claudia,1899-12-31 15:49:16,Sheyhe,Addede,23/10/2005,03/07/2010,61,117,8
2015,Grooming,28/08/2015,J,Matteo,1899-12-31 14:58:26,Harear,Addede,23/10/2005,NA,NA,118,8
2014,Grooming,08/06/2014,J,AJ,1899-12-31 09:52:02,Sheyhe,Addede,23/10/2005,03/07/2010,47,103,6
2014,Grooming,26/05/2014,J,Andy,1899-12-31 16:37:55,Joceoy,Addede,23/10/2005,25/01/2011,39,103,5
